time,open,high,low,close,Volume,Volume MA,MA
-3121407238,4.5,4.5,4.5,4.5,0,NaN,NaN
-3118988038,4.61,4.61,4.61,4.61,0,NaN,NaN
-3113717638,4.86,4.86,4.86,4.86,0,NaN,NaN
-3111039238,4.82,4.82,4.82,4.82,0,NaN,NaN
-3105768838,4.79,4.79,4.79,4.79,0,NaN,NaN
-3103090438,4.84,4.84,4.84,4.84,0,NaN,NaN
-3097820038,4.64,4.64,4.64,4.64,0,NaN,NaN
-3095228038,4.74,4.74,4.74,4.74,0,NaN,4.715999999999999
-3092549638,4.86,4.86,4.86,4.86,0,NaN,4.784
-3089871238,4.88,4.88,4.88,4.88,0,NaN,4.79
-3087365638,5.04,5.04,5.04,5.04,0,NaN,4.766
-3084687238,5.18,5.18,5.18,5.18,0,NaN,4.773999999999999
-3082095238,5.18,5.18,5.18,5.18,0,NaN,4.792
-3076824838,5.1,5.1,5.1,5.1,0,NaN,4.831999999999999
-3074146438,5.04,5.04,5.04,5.04,0,NaN,4.9399999999999995
-3068876038,4.97,4.97,4.97,4.97,0,NaN,5.027999999999999
-3066197638,4.95,4.95,4.95,4.95,0,NaN,5.075999999999999
-3060927238,5.11,5.11,5.11,5.11,0,NaN,5.107999999999999
-3053151238,5.04,5.04,5.04,5.04,0,NaN,5.093999999999999
-3050559238,5.05,5.05,5.05,5.05,0,0,5.047999999999999
-3045288838,4.97,4.97,4.97,4.97,0,0,5.033999999999999
-3042610438,4.97,4.97,4.97,4.97,0,0,5.0219999999999985
-3039932038,4.59,4.59,4.59,4.59,0,0,5.023999999999999
-3037340038,4.19,4.19,4.19,4.19,0,0,5.023999999999999
-3032069638,4.42,4.42,4.42,4.42,0,0,5.027999999999999
-3029391238,4.66,4.66,4.66,4.66,0,0,4.923999999999999
-3021615238,4.6,4.6,4.6,4.6,0,0,4.754
-3019023238,4.48,4.48,4.48,4.48,0,0,4.627999999999998
-3016344838,4.46,4.46,4.46,4.46,0,0,4.565999999999999
-3013752838,4.46,4.46,4.46,4.46,0,0,4.491999999999999
-3008396038,4.54,4.54,4.54,4.54,0,0,4.469999999999999
-3005804038,4.53,4.53,4.53,4.53,0,0,4.523999999999999
-3000533638,4.54,4.54,4.54,4.54,0,0,4.531999999999999
-2997855238,4.54,4.54,4.54,4.54,0,0,4.507999999999999
-2995176838,4.53,4.53,4.53,4.53,0,0,4.494
-2992757638,4.59,4.59,4.59,4.59,0,0,4.505999999999999
-2990079238,4.65,4.65,4.65,4.65,0,0,4.521999999999999
-2984808838,4.38,4.38,4.38,4.38,0,0,4.536
-2982216838,4.39,4.39,4.39,4.39,0,0,4.545999999999999
-2976860038,4.37,4.37,4.37,4.37,0,0,4.5699999999999985
-2974268038,4.3,4.3,4.3,4.3,0,0,4.5379999999999985
-2971589638,4.37,4.37,4.37,4.37,0,0,4.507999999999999
